Project name,Country,Trade,Partners,Announced start date,Date online,Decomission date,Repurposed_new,Status,Technology type,Product2,Announced Size,Location
Australian Renewable Energy Hub (AREH),AUS,Export,"Vestas, CWP Energy Asia, InterContinental Energy, Pathway Investments, Nyangumarta People, Energy Change Institute",2028,2028,,New,Feasibility study,Ammonia storage,Ammonia,10 Mt ammonia,East Pilbara
Western Green Energy Hub,AUS,Export,"InterContinental Energy, CWP Global, Mirning People",2038,2038,,New,Concept,Ammonia storage,Ammonia,20 Mt ammonia,Eucla
Tiwi H2,AUS,Export,Provaris Energy,2026,2026,,New,Feasibility study,Compressed Ship,Hydrogen,90 kt H2,Port Melville
"Oakajee Strategic
Industrial Area",AUS,Export,WA government called for Expressions of Interests,NA,NA,,New,Concept,Ammonia storage,Ammonia,"270 MW wind
1250 MW solar PV
(not all will be exported)",Geraldton Port
YURI Add-on,AUS,Export,"Yara Pilbara Fertilisers, Engie Services Australia",2023,2023,,Retrofitted,Under construction,Ammonia storage,Ammonia,"3,700 kt ammonia",Pilbara
YURI Ammonia Expansion,AUS,Export,"Yara Pilbara Fertilisers, Engie Services Australia",2028,2028,,New,Concept,Ammonia storage,Ammonia,480 kt ammonia,Pilbara
Central Queensland Hydrogen,AUS,Export,"Stanwell Corporation Limited, Iwatani Corporation, Kawasaki Heavy Industries, Marubeni Corporation, Kansai Electric Power Company, APA Group",2028,2028,,New,Feasibility study,Liquefaction,H2,">200 t/day in 2026 (640 MW electrolysis)
>800 t/day by 2031 (2240 MW electrolysis)",Gladstone Port
Gladstone Energy and Ammonia Project,AUS,Export,"Itouchu, Australian Future Energy",2024,2024,,New,Feasibility study,Ammonia storage,Ammonia,230 kt ammonia,Gladstone Port
H2-Hub Gladstone,AUS,Export," Hydrogen Utility (H2U), Orica, Vopak Terminals Australia",2025,2025,,New,Feasibility study,Ammonia storage,Ammonia,1.7 Mtpa ammonia,Yarwun 
Green Liquid Hydrogen Export Project,AUS,Export,"Origin Energy, Kawasaki Heavy Industries",2026,2026,,New,Feasibility study,Liquefaction,LH2,"36,500 t/a",Port of Townswille
Hydrogen Energy Supply Chain (HESC),AUS,Export,"Kawasaki Heavy Industries (KHI), Electric Power Development Co. (J-Power), Iwatani Corporation, Marubeni Corporation, Sumitomo Corporation, AGL.",2021,2021,,New,DEMO,Liquefaction,LH2,0.25 t/d,Port of Hastings
Hydrogen Energy Supply Chain (HESC),AUS,Export,"Kawasaki Heavy Industries (KHI), Electric Power Development Co. (J-Power), Iwatani Corporation, Marubeni Corporation, Sumitomo Corporation, AGL.",2021,2021,,New,DEMO,LH2 Storage,LH2,41 m3,Port of Hastings
Japan-Australia CO2-free Hydrogen Supply Chain in Queensland,AUS,Export,"ENEOS, Origin",NA,NA,,New,Concept,LOHC Hydrogenation,LOHC,NA,Queensland
Origin Green Hydrogen and Ammonia Plant,AUS,Export,"Origin, Mitsui O.S.K. Lines (MOL)",2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,420 kt ammonia,"Bell Bay,Tasmania"
Hunter Hydrogen Network (H2N),AUS,Export,"Energy Estate, Eurus Energy",NA,NA,,New,Concept,Undefined,Various,NA,Port of Newcastle
North Queensland Clean Energy Project (HyNQ),AUS,Export,Energy Estate,NA,NA,,New,Concept,Undefined,Various,NA,Abbot Point
East Kimberley Clean Energy Project,AUS,Export,"Pollination, MG Corporation, Balanggarra Aboriginal Corporation, Kimberley Land Council ",2028,2028,,New,Concept,Ammonia storage,Ammonia,250 ktpa ammonia,Port of Wyndham
H2TAS Renewable Hydrogen Project,AUS,Export,"Woodside, Marubeni, IHI Corporation",2025,2025,,New,Feasibility study,Ammonia storage,Ammonia,"200 kt ammonia (300 MW electrolysis)
1.7 GW electrolysis in a future","Bell Bay,Tasmania"
ABEL Energy Bell Bay Powerfuels Project,AUS,Export,ABEL Energy,2025,2025,,New,Feasibility study,Power-to-X,Methanol,70 kt methanol,"Bell Bay,Tasmania"
Han-Ho H2 Hub,AUS,Export,"Ark Energy, SK Gas, Hanwha Impact, Korea Zinc",2030s,2030s,,New,Feasibility study,Ammonia storage,Ammonia,1 Mtpa ammonia,Bowen
Antwerp NH3 Import Terminal,BEL,Import,"Fluxys, Advario Stolthaven Antwerp, Advario Gas Terminal",2027,2027,,New,Concept,Ammonia storage,Ammonia,NA,Antwerp
Zeebrugge New Molecules development,BEL,Import,Fluxys,2030,2030,,New,Concept,Ammonia Cracking,Ammonia,NA,Zeebrugge
Advanced Hydrogen Energy Chain Association for Technology Development (AHEAD),BRN,Export,"Chiyoda Corporation, Mitsubishi Corporation, Mitsui & Co. Ltd., NYK",2020,2020,2020,New,DEMO,LOHC Hydrogenation,LOHC,210 t H2/a,Brunei
Nujio’qonik,CAN,Export,"World Energy GH2, SK ecoplant",2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,1 Mtpa ammonia,Port of Stephenville
HNH,CHL,Export,"Copenhagen Infrastructure Partners (CIP), AustriaEnergy, Ökowind",2028,2028,,New,Concept,Ammonia storage,Ammonia,850 kt ammonia or 150 kt H2,South of Magallanes
HyEx-Phase 2,CHL,Export,"Engie, Enaex",2030,2030,,New,Concept,Ammonia storage,Ammonia,700 kt ammonia,Mejillones
Green LNG Brunsbüttel,DEU,Import,"Gasunie, RWE, KfW",2026,2026,,New,Concept,LNG Shipping,Synfuels,Natural gas: 8 billion m3/year,Brunsbüttel
H2 Brunsbüttel,DEU,Import,"Gasunie, RWE, KfW",NA,NA,,New,Concept,Regasification,H2,Natural gas: 8 billion m3/year,Brunsbüttel
Ammonia Brunsbüttel,DEU,Import,"RWE,  Brunsbüttel Ports GmbH",2026,2026,,New,Feasibility study,Ammonia Cracking,Ammonia,300 kt ammonia,Brunsbüttel
Green Wilhelmshaven,DEU,Import,Uniper,2030,2030,,New,Concept,Ammonia Cracking,Ammonia,295 kt H2 per year (imports+410MW electrolyser),Wilhelmshaven 
Green Gas Terminal,DEU,Import,Tree Energy Solutions (TES),2025,2025,,Retrofitted,Concept,LNG Shipping,Methane,"Initial stage: 0.5 Mt
Final stage: 5 Mt",Wilhelmshaven 
Hanseatic Energy Hub,DEU,Import,"Fluxys, Partners Group, Buss Group, Dow",2026,2026,,Retrofitted,Concept,LNG Shipping,Methane,13.3 bcm of LNG,Stade
Ammonia import at Hamburg,DEU,Import,"Mabanaft, Air Products",2026,2026,,New,Concept,Ammonia storage,Ammonia,,Port of Hamburg
Ammonia import at Hamburg,DEU,Import,"Mabanaft, Air Products",2026,2026,,New,Concept,Ammonia cracking,Ammonia,,Port of Hamburg
AMEA Power Green ammonia Phase 1 Ain Sokhna,EGY,Export,"Check if it is for export, https://www.rystadenergy.com/newsevents/news/press-releases/COP27-host-Egypt-commits-40bn-to-green-hydrogen-economy-to-attract-foreign-investment/",NA,NA,,New,Concept,Ammonia storage,Ammonia,235 kt ammonia,Ain Sokhna
AMEA Power Green ammonia Phase 2 Ain Sokhna,EGY,Export,AlNowais,NA,NA,,New,Concept,Ammonia storage,Ammonia,390 kt ammonia,Ain Sokhna
Deme Green Hydrogen,EGY,Export,,NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Ain Sokhna
EDF Gren ammonia Phase 1 Ain Sokhna,EGY,Export,"I think is for bunkering, not for exports",NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Ain Sokhna
EDF Gren ammonia Phase 2 Ain Sokhna,EGY,Export,"I think is for bunkering, not for exports",NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Ain Sokhna
Eni Green Hydrogen,EGY,Export,,NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Ain Sokhna
Maersk Green ammonia,EGY,Export,,NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Ain Sokhna
Masdar Ain-Sokhna Phase 2 green ammonia,EGY,Export,"Masdar, Hassan Allam Utilities",2030,2030,,New,Concept,Ammonia storage,Ammonia,2.3 Mt ammonia,Ain Sokhna
